quotes,source
"Nothing is more noble, nothing more venerable, than loyalty.",https://quotes.values.com/quote_artwork/7898/medium/20190410_wednesday_quote.jpg?1554481638
Loyalty is the strongest glue—which makes a relationship last a lifetime.,https://quotes.values.com/quote_artwork/7901/medium/20190409_tuesday_quote_alternate.jpg?1554497336
You don’t earn loyalty in a day. You earn loyalty day-by-day.,https://quotes.values.com/quote_artwork/7896/medium/20190408_monday_quote.jpg?1554481590
"There may be people that have more talent than you, but there’s no excuse for anyone to work harder than you do.",https://quotes.values.com/quote_artwork/7895/medium/20190405_friday_quote.jpg?1553889173
"When you live for a strong purpose, hard work isn’t an option. It’s a necessity.",https://quotes.values.com/quote_artwork/7894/medium/20190404_thursday_quote.jpg?1553889149
Success isn't always about greatness. It's about consistency. Consistent hard work leads to success. Greatness will come.,https://quotes.values.com/quote_artwork/7893/medium/20190403_wednesday_quote.jpg?1553889106
"Successful people are not gifted; they just work hard, then succeed on purpose.",https://quotes.values.com/quote_artwork/7892/medium/20190402_tuesday_quote.jpg?1553889075
"I know the price of success: dedication, hard work, and an unremitting devotion to the things you want to see happen.",https://quotes.values.com/quote_artwork/6432/medium/20190401_monday_quote.jpg?1553888798
"Taking care of yourself doesn't mean me first, it means me too.",https://quotes.values.com/quote_artwork/7890/medium/20190329_friday_quote.jpg?1553276143
A kind word is like a spring day.,https://quotes.values.com/quote_artwork/7891/medium/20190328_thursday_quote_alternate.jpg?1553534100
"My mission in life is to be kind, compassionate, caring, and loving in order to find and feel the deepest joy of life.",https://quotes.values.com/quote_artwork/7888/medium/20190327_wednesday_quote.jpg?1553276090
I feel the capacity to care is the thing which gives life its deepest significance.,https://quotes.values.com/quote_artwork/3203/medium/20190326_tuesday_quote.jpg?1553276065
"Never believe that a few caring people can’t change the world. For, indeed, that’s all who ever have.",https://quotes.values.com/quote_artwork/7887/medium/20190325_monday_quote.jpg?1553276034
"Don’t be afraid to expand yourself, to step out of your comfort zone. That’s where the joy and the adventure lie.",https://quotes.values.com/quote_artwork/7886/medium/20190322_friday_quote.jpg?1552683104
At times you have to leave the city of your comfort and go into the wilderness of your intuition. What you'll discover will be wonderful. What you'll discover is yourself.,https://quotes.values.com/quote_artwork/7359/medium/20190321_thursday_quote.jpg?1552683072
"For what it’s worth: it’s never too late or, in my case, too early to be whoever you want to be.",https://quotes.values.com/quote_artwork/7885/medium/20190320_wednesday_quote_alternate2.jpg?1552689922
Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,https://quotes.values.com/quote_artwork/4171/medium/20190319_tuesday_quote.jpg?1552682997
Embrace uncertainty. Some of the most beautiful chapters in our lives won’t have a title until much later.,https://quotes.values.com/quote_artwork/7884/medium/20190318_monday_quote.jpg?1552682962
The most important thing in communication is to hear what isn't being said.,https://quotes.values.com/quote_artwork/6664/medium/20190315_friday_quote.jpg?1552095946
Deep listening is the kind of listening that can help relieve the suffering of another person... You listen with only one purpose: to help him or her to empty their heart.,https://quotes.values.com/quote_artwork/7883/medium/20190314_thursday_quote_updated.jpg?1552576582
There's a lot of difference between listening and hearing.,https://quotes.values.com/quote_artwork/7882/medium/20190313_wednesday_quote.jpg?1552095885
"Listening is a magnetic and strange thing, a creative force. The friends who listen to us are the ones we move toward. When we are listened to, it creates us, makes us unfold and expand.",https://quotes.values.com/quote_artwork/3817/medium/20190312_tuesday_quote.jpg?1552095841
The first duty of love is to listen.,https://quotes.values.com/quote_artwork/4151/medium/20190311_monday_quote.jpg?1552095812
"If human beings are perceived as potentials rather than problems, as possessing strengths instead of weaknesses, as unlimited rather than dull and unresponsive, then they thrive and grow to their capabilities.",https://quotes.values.com/quote_artwork/3180/medium/20190308_quote_fixed.jpg?1552091075
Find the good—and praise it.,https://quotes.values.com/quote_artwork/3546/medium/20190307_thursday_quote.jpg?1551560591
"I have yet to find a man or woman, however exalted their station, who did not do better work and put forth greater effort under a spirit of approval than under a spirit of criticism.",https://quotes.values.com/quote_artwork/6383/medium/20190306_wednesday_quote.jpg?1551560565
Promise yourself to be just as enthusiastic about the success of others as you are about your own.,https://quotes.values.com/quote_artwork/3710/medium/20190305_tuesday_quote.jpg?1551560543
"Be aware of what others are doing, applaud their efforts, acknowledge their successes, and encourage them in their pursuits. When we all help one another, everybody wins.",https://quotes.values.com/quote_artwork/4102/medium/20190304_monday_quote.jpg?1551560513
"Be happy in the moment, that’s enough. Each moment is all we need, not more.",https://quotes.values.com/quote_artwork/7453/medium/20190301_friday_quote.jpg?1550871772
The basic root of happiness lies in our minds; outer circumstances are nothing more than adverse or favorable.,https://quotes.values.com/quote_artwork/7880/medium/20190228_thursday_quote.jpg?1550871741
"The mind is just like a muscle—the more you exercise it, the stronger it gets and the more it can expand.",https://quotes.values.com/quote_artwork/7881/medium/20190227_wednesday_quote_alternate.jpg?1550985352
"In the end, just three things matter: How well we have lived. How well we have loved. How well we have learned to let go.",https://quotes.values.com/quote_artwork/7878/medium/20190226_tuesday_quote_alternate.jpg?1550878608
"The most precious gift we can offer others is our presence. When mindfulness embraces those we love, they will bloom like flowers.",https://quotes.values.com/quote_artwork/7877/medium/20190225_monday_quote.jpg?1550871649
"For a seed to achieve its greatest expression, it must come completely undone. The shell cracks, its insides come out and everything changes. To someone who doesn't understand growth, it would look like complete destruction.",https://quotes.values.com/quote_artwork/7876/medium/20190222_friday_quote.jpg?1550254774
,https://quotes.values.com/quote_artwork/7875/medium/20190221_thursday_quote.jpg?1550254755
Getting over a painful experience is much like crossing monkey bars. You have to let go at some point in order to move forward.,https://quotes.values.com/quote_artwork/6805/medium/20190220_wednesday_quote.jpg?1550254723
Turn your wounds into wisdom.,https://quotes.values.com/quote_artwork/7874/medium/20190219_tuesday_quote.jpg?1550254589
Every trial endured and weathered in the right spirit makes a soul nobler and stronger than it was before.,https://quotes.values.com/quote_artwork/4675/medium/20190218_monday_quote.jpg?1550254567
I think your whole life shows in your face and you should be proud of that.,https://quotes.values.com/quote_artwork/6943/medium/20190215_friday_quote.jpg?1549567453
"A person who has good thoughts cannot ever be ugly. You can have a wonky nose and a crooked mouth and a double chin and stick-out teeth, but if you have good thoughts they will shine out of your face like sunbeams and you will always look lovely.",https://quotes.values.com/quote_artwork/6872/medium/20190214_thursday_quote.jpg?1549567422
True beauty does not shine; it attracts.,https://quotes.values.com/quote_artwork/7873/medium/20190213_wednesday_quote.jpg?1549567389
To be beautiful means to be yourself. You don’t need to be accepted by others. You need to accept yourself.,https://quotes.values.com/quote_artwork/6807/medium/20190212_tuesday_quote.jpg?1549567366
True beauty is born through our actions and aspirations and in the kindness we offer to others.,https://quotes.values.com/quote_artwork/7872/medium/20190211_monday_quote_alternate2.jpg?1549646520
"I have a dream that my four children will one day live in a nation where they will not be judged by the color of their skin, but by the content of their character.",https://quotes.values.com/quote_artwork/7032/medium/20190208_friday_quote.jpg?1548806108
Every experience is a stitch in the fabric of your character.,https://quotes.values.com/quote_artwork/3230/medium/20190207_thursday_quote.jpg?1548806084
"The greatest discovery of our generation is that human beings can alter their lives by altering their attitudes of mind. As you think, so shall you be.",https://quotes.values.com/quote_artwork/6745/medium/20190206_wednesday_quote.jpg?1548806062
"Adversity does not build character, it reveals it.",https://quotes.values.com/quote_artwork/6514/medium/20190205_tuesday_quote.jpg?1548806040
"If I take care of my character, my reputation will take care of itself.",https://quotes.values.com/quote_artwork/7871/medium/20190204_monday_quote.jpg?1548963744
"I go to nature to be soothed and healed, and to have my senses put in order.",https://quotes.values.com/quote_artwork/7870/medium/20190201_friday_quote.jpg?1548455490
"And into the forest I go, to lose my mind and find my soul.",https://quotes.values.com/quote_artwork/7869/medium/20190131_thursday_quote.jpg?1548455385
Nature is not matter only. She is also spirit.,https://quotes.values.com/quote_artwork/7868/medium/20190130_wednesday_quote.jpg?1548455344
"I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ‘This is what it is to be happy.",https://quotes.values.com/quote_artwork/7508/medium/20190129_tuesday_quote.jpg?1548455316
To walk into nature is to witness a thousand miracles.,https://quotes.values.com/quote_artwork/7867/medium/20190128_monday_quote.jpg?1548455282
"I speak not for myself but for those without voice… those who have fought for their rights… their right to live in peace, their right to be treated with dignity, their right to equality of opportunity, their right to be educated.",https://quotes.values.com/quote_artwork/7866/medium/20180125_friday_quote.jpg?1547859897
I would like to be known as a person who is concerned about freedom and equality and justice and prosperity for all people.,https://quotes.values.com/quote_artwork/7865/medium/20180124_thursday_quote.jpg?1547859876
"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.",https://quotes.values.com/quote_artwork/7276/medium/20180123_wednesday_quote_alt_1.jpg?1548018262
"Honesty, equality, kindness, compassion, treating people the way you want to be treated and helping those in need. To me, those are traditional values.",https://quotes.values.com/quote_artwork/7668/medium/20180122_tuesday_quote_updated.jpg?1548013704
"Never, never be afraid to do what's right.",https://quotes.values.com/quote_artwork/6359/medium/20180121_monday_quote_updated.jpg?1548013486
"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.",https://quotes.values.com/quote_artwork/7861/medium/20190114_monday_quote.jpg?1547244687
"It may take courage to embrace the possibilities of your own potential, but once you've flown past the summit of your fears, nothing will seem impossible.",https://quotes.values.com/quote_artwork/3805/medium/20190117_thursday_quote.jpg?1547244946
Be brave. Take risks. Nothing can substitute experience.,https://quotes.values.com/quote_artwork/7863/medium/20190116_wednesday_quote_updated.jpg?1547318598
"You can choose courage, or you can choose comfort, but you cannot choose both.",https://quotes.values.com/quote_artwork/7862/medium/20190115_tuesday_quote.jpg?1547244714
"I'm not afraid of storms, for I'm learning to sail my ship.",https://quotes.values.com/quote_artwork/3030/medium/20190118_friday_quote.jpg?1547244978
Laughter is the shortest distance between two people.,https://quotes.values.com/quote_artwork/3137/medium/20190111_friday_quote.jpg?1546641635
"At the height of laughter, the universe is flung into a kaleidoscope of new possibilities.",https://quotes.values.com/quote_artwork/5118/medium/20190110_thursday_quote.jpg?1546641613
"Laugh my friend, for laughter ignites a fire within the pit of your belly and awakens your being.",https://quotes.values.com/quote_artwork/7461/medium/20190109_wednesday_quote.jpg?1546641588
